"Part";"Value";"Device";"Package";"Description";"PARTNO";"POPULARITY";"SPICEPREFIX";
"C1";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"GRM21BR71C105KA01L";"63";"C";
"C2";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"GRM21BR61C106KE15K";"63";"C";
"C3";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"GRM21BR71C105KA01L";"63";"C";
"LED1";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"APT2012SURCK";"68";"";
"M1";"";"NUCLEO-L452RE";"NUCLEO-64";"No existe un outline (Layer Dimension) para esta librería. En su lugar se utilizó una referencia en tDocu.";"";"";"";
"Q1";"MOSFET-N";"N-HEXFET-2D_SOT232-";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"DMN3032LE-13";"0";"";
"Q2";"MOSFET-N";"N-HEXFET-2D_SOT232-";"SOT223";"HEXFET® Power MOSFET 2 Drain connects";"DMN3032LE-13";"0";"";
"R1";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R2";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R3";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R4";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R5";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R6";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R7";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"R8";"10K";"R-US_R0805";"R0805";"RESISTOR, American symbol";"RMCF0805JT10K0";"85";"R";
"S1";"5501";"5501";"5501";"PUSHBUTTON SERIES 5500 SWITCHES";"PTS647SM70SMTR2LFS";"0";"";
"U1";"LP5907QMFX-2.8Q1";"LP5907";"LP5907";"";"LP5907QMFX-2.8Q1";"";"";
"U2";"VL53L0X";"VL53L0X";"VL53L0X";"";"VL53L0CXV0DH/1";"";"";
